title,budget,location,posted,proposals,badges,description,link,score
自動化策略交易程式開發,"$3,500",台北市,2026/03/24,9,長期,我正在尋求專家可以提供自動化策略交易程式開發相關服務，服務內容 請參考：&lt;a href='https://www.tas…,https://www.tasker.com.tw/cases/TK26032416ELIZ58,3
PHP開發laravel,"$50,000",可遠端,2026/03/09,32,長期,開發與維護公司 PHP開發 與前端團隊合作串接 API、整合新功能……..,https://www.tasker.com.tw/cases/TK26030223YDJH52,3
程式開發,預算詳談,可遠端,2小時,20,,需求概述：您好，我想開發一套「團購分店下單管理系統」。 系統需求如下： 【總部後台功能】 * 商品管理 * 庫存管理 *…,https://www.tasker.com.tw/cases/TK26052323VEGC54,2
程式開發,預算詳談,可遠端,前天,42,,需求概述：需求名稱：進出貨軟體+紀錄 用於……..,https://www.tasker.com.tw/cases/TK26052215WHYZ75,2
EXCEL爬蟲+產QRCODE,"$20,000",台南市,2026/05/20,33,"急件, 長期, 需發票",用於哪個行業：電商 細節……..,https://www.tasker.com.tw/cases/TK26051703IVXP38,2
程式開發,預算詳談,台南市,2026/05/17,42,,需求概述：直銷公司……..,https://www.tasker.com.tw/cases/TK26051717PXMA55,2
網站開發,"$70,000",高雄市,2026/05/17,35,長期,我正在尋求專家可以提供網站開發相關服務，服務內容 請參考：&lt;a href='https://www.tasker.com…,https://www.tasker.com.tw/cases/TK26051713NGOV11,2
協助網站建置-wordpress,"$20,000",台北市,2026/05/12,30,長期,我正在尋求專家可以提供協助網站建置-wordpress相關服務，服務內容 請參考：&lt;a href='https://ww…,https://www.tasker.com.tw/cases/TK26051219IVCP16,2
Python 影像辨識與 Windows 自動化工程師,"$1,000",可遠端,2026/05/11,10,"急件, 長期",開發 PC 端遊戲畫……..,https://www.tasker.com.tw/cases/TK26050617XAGW14,2
APP轉web app,"$100,000",可遠端,2026/05/11,31,"長期, 需發票",現況：已有 iOS/Android 版展覽小遊戲（已含設計素材），無原始碼，希望重製為手機瀏覽器 web app，保留原…,https://www.tasker.com.tw/cases/TK26050618YMZS79,2
AI 自動化服務,"$100,000",新北市,2026/05/11,44,需發票,我需要AI 自動化服務服務，希望包含以下內容： - 多流程自動化架構 -……..,https://www.tasker.com.tw/cases/TK26050620TMHZ35,2
架設複合式AI網站,"$1,000",可遠端,2026/05/08,20,長期,用於哪個行業：架設網站、串接API 細節說明： 一、專案概述 我們要建立一個類似 Poe 的 AI 多模型整合平台，使用…,https://www.tasker.com.tw/cases/TK26050509FMFF41,2
視覺/自動化/爬蟲..等,"$99,999",新北市,2026/05/07,27,"長期, 需發票",我目前使用Claude在進行各式自……..,https://www.tasker.com.tw/cases/TK26050402ZXRY23,2
製作wordpress網站,"$50,000",可遠端,2026/05/04,44,需發票,用於哪個行業： 細節說明：我想發包，製作wordpress網站： 不要制……..,https://www.tasker.com.tw/cases/TK26043009VURQ40,2
程式開發,預算詳談,台中市,2026/04/29,59,,需求概述：需求名稱：金飾電商網站＋金價 API 自動計價系統 用於哪個行業：黃金飾品 / 金飾電商 細節說明： 需要架設…,https://www.tasker.com.tw/cases/TK26042909ICJK17,2
導入AI Agent整合OpenClaw與Ollama/Gemma以優化公司流程,"$20,000",可遠端,2026/04/20,28,長期,背景與目標：我們希望將AI agent導入既有公司流程，並整合OpenClaw、Ollama與Gemma等工具，建立可在…,https://www.tasker.com.tw/cases/TK26041503LCHR72,2
AI客製化專案開發,"$300,000",可遠端,2026/04/20,33,長期,用於哪個行業：製造業 細節說明：AI客……..,https://www.tasker.com.tw/cases/TK26041611JVME80,2
電腦遊戲挖寶重複操作自動化腳本開發,"$12,000",可遠端,2026/04/16,20,長期,背景與目標：我需要一套在電腦上執行的自動化腳本，用於在特定電腦遊戲中重複進行挖寶物等固定流程操作，以降低人工重複點擊與操…,https://www.tasker.com.tw/cases/TK26041108XVJA77,2
客製化電商批發訂貨與庫存管理系統開發,預算詳談,新北市,2026/04/07,62,,需求名稱：客製……..,https://www.tasker.com.tw/cases/TK26040704KORV32,2
協助使用AI AGENT( MANUS )協助處理客戶資料的整合,"$3,000",台北市,2026/04/02,25,急件,想使用AI AGENT( MANUS )協助處理客戶資料的整合，如報價、案……..,https://www.tasker.com.tw/cases/TK26032820AWQF93,2
AI 自動化設計,"$5,000",可遠端,2026/04/02,35,"急件, 長期",Hi，我目前在建立一套內部 AI automation system（個人助理AI），主要是做 物業管理相關的自動化。 …,https://www.tasker.com.tw/cases/TK26032920MBJG49,2
RWD形象網站（PHP）,"$15,000",可遠端,2026/03/31,42,"急件, 長期",Soho PT 工程師 RWD擅長PHP + Mysql 接案所在地區新……..,https://www.tasker.com.tw/cases/TK26032622MFPF39,2
程式開發,預算詳談,高雄市,2026/03/24,37,,需求概述：需求名稱：考試平台設計 用於哪個行業：教育培訓 細節說明：我想設計一個線上測驗平台，考生透過手機輸入姓名…….…,https://www.tasker.com.tw/cases/TK26032410QRBP91,2
【長期配合】GAS / n8n 自動化模板開發,"$1,500",可遠端,2026/03/23,31,長期,希望找長期配合的人員，協助開發 Google Apps Script 腳本與 n8n 工作流模板，由我方內部人員進行實作…,https://www.tasker.com.tw/cases/TK26031616KLAH50,2
系統開發,"$100,000",桃園市,2026/03/17,46,"長期, 需發票",您好~我想諮詢設計公司網頁可連動行動裝置。希望這個網頁呈現公司作品集~但主軸要放在……..,https://www.tasker.com.tw/cases/TK26031221OYKZ29,2
網站式AI聊天機器人,"$100,000",新北市,2026/03/02,85,"急件, 長期, 需發票",我們需要設計一個AI聊天機器人網站，希望……..,https://www.tasker.com.tw/cases/TK26022314TDKP20,2
程式開發,預算詳談,可遠端,2026/02/27,41,,需求概述：需求名稱：平台……..,https://www.tasker.com.tw/cases/TK26022723XSWN41,2
AI串接資料庫取得銷售指引,預算詳談,台北市,2026/02/09,50,需發票,我們有一些潛客的聯絡及基……..,https://www.tasker.com.tw/cases/TK26020509AMPX02,2
"企業AI應用工作流, AI Agent導入(N8N或其他)","$50,000",可遠端,2026/02/09,40,長期,協助公司導入 AI 工作流應用(N8N 或 其他):……..,https://www.tasker.com.tw/cases/TK26020409FWET33,2
前端/全端工程師,"$100,000",可遠端,2026/01/26,97,,用於哪個行業：網頁開發 細節說……..,https://www.tasker.com.tw/cases/TK25112520KCUQ81,2
discord 機器人程式,"$100,000",桃園市,前天,23,"長期, 需發票",discord 機器……..,https://www.tasker.com.tw/cases/TK26051922FGJJ23,2
程式開發,預算詳談,桃園市,前天,14,,需求概述：需求名稱：……..,https://www.tasker.com.tw/cases/TK26052216TDGZ62,2
c#開發 api串接,"$60,000",可遠端,2026/05/21,33,長期,發包:c#開發 a……..,https://www.tasker.com.tw/cases/TK26051815ZMMV60,2
程式開發,預算詳談,宜蘭縣,2026/05/20,4,,需求概述：需求名稱……..,https://www.tasker.com.tw/cases/TK26051920BJZH34,2
程式開發,預算詳談,新竹市,2026/05/13,24,,需求概述：需求名稱：現有……..,https://www.tasker.com.tw/cases/TK26051300XTPO44,2
程式開發,預算詳談,高雄市,2026/05/11,25,,需求概述：需求名稱：json串接LINE quick reply api 用於哪個行業：餐飲訂閱戶預約，以及未來可以輕鬆…,https://www.tasker.com.tw/cases/TK26051112RUKS87,2
程式開發,預算詳談,高雄市,2026/05/10,24,,需求概述：需求名稱：預約系……..,https://www.tasker.com.tw/cases/TK26051017GRBS96,2
SEO / GEO 既有文章優化+網站速度提升,"$1,000",可遠端,2026/05/08,12,,SEO / GEO 既有文章優化+網站速度提升(請提供之前做過的成效案例) 1. SEO / GEO 全站健檢報告 針對…,https://www.tasker.com.tw/cases/TK26050513PZXO64,2
程式開發,預算詳談,桃園市,2026/05/06,8,,需求概述：godot帮……..,https://www.tasker.com.tw/cases/TK26050621GKPW37,2
AI應用專案規劃／設計／開發的長期合作夥伴,"$200,000",台南市,2026/05/05,26,長期,一、案件說明：AI應用專案規劃／設計／開發 二、執行時間：依專案而定 三、接……..,https://www.tasker.com.tw/cases/TK26022420OAXW21,2
程式開發,預算詳談,台北市,2026/05/05,24,,需求概述：需求名稱……..,https://www.tasker.com.tw/cases/TK26050418RSIH34,2
程式開發,預算詳談,台南市,2026/05/05,8,,需求概述：需求名稱：……..,https://www.tasker.com.tw/cases/TK26050508TPNL19,2
優化wordpress網站速度,"$1,000",可遠端,2026/04/29,8,,細節說明：目前使用PageSpeed跑出來的速度不高，需要優化我的wordpress網站速度和評分。 主要方向如下，但也…,https://www.tasker.com.tw/cases/TK26042916ECPA29,2
程式開發,預算詳談,新北市,2026/04/29,32,,需求概述：需求名稱：轉盤遊戲結合資料庫 用於哪個行業：抽獎使用 細節說明： 請設計一個讓客戶用姓名跟手……..,https://www.tasker.com.tw/cases/TK26042911QRAN97,2
程式開發 - PDF自動轉檔至需求版面(doc),"$10,000",可遠端,2026/04/28,42,"長期, 需發票",用於哪個行業:檢測公司 細節說明：本人於檢測公司上班，日常需處理大量國際測試規範（Test Protocol）文件，目前…,https://www.tasker.com.tw/cases/TK26040821ZRAE29,2
QDM網站官網程式顧問協助,"$2,000",可遠端,2026/04/27,11,"急件, 長期, 需發票",用於哪個行業：livesyard.com 細節說明：原則上會由我們設計人……..,https://www.tasker.com.tw/cases/TK26042219LSZD84,2
參與編寫自動化偵測程式模組的研發討論,"$10,000",新北市,2026/04/23,7,長期,用於哪個行業：教材學習 細節說明： 我們是研發快速學習教材的， 需要找會寫自動偵測的程式設計師參與討論， 整個概念是研發…,https://www.tasker.com.tw/cases/TK26042314ZJPQ83,2
APP前端製作,"$5,000",可遠端,2026/04/20,21,,APP……..,https://www.tasker.com.tw/cases/TK26041616GSZX20,2
程式開發,預算詳談,台北市,2026/04/18,57,,需求概述：需求名稱：運營系統 用於……..,https://www.tasker.com.tw/cases/TK26041818KXWY69,2
網站系統上線前檢測,"$30,000",可遠端,2026/04/13,32,,我需要做上線前最低必要檢測(時間應該會落在下周二前我這邊可以交付系統，需要請工程師協助測試以下項目： 首頁與……..,https://www.tasker.com.tw/cases/TK26041015LVMJ28,2
"shopline網站後台設定, 主視覺設計","$20,000",可遠端,2026/04/10,31,"急件, 需發票",用於哪個行業：……..,https://www.tasker.com.tw/cases/TK26041015SHFD87,2
AI GEO系統,"$100,000",新北市,2026/04/10,30,急件,我需要……..,https://www.tasker.com.tw/cases/TK26040221IRGU16,2
程式開發,預算詳談,彰化縣,2026/04/02,23,,需求概述：需求名稱：……..,https://www.tasker.com.tw/cases/TK26040121BUCV19,2
lovable串接資料庫及修改程式碼,"$2,000",台北市,2026/03/25,28,,用於哪個行業：心靈諮詢 療癒服務 細節說明：用lovable做了一個簡單的網頁……..,https://www.tasker.com.tw/cases/TK26031821JUBE78,2
雙系統APP,"$200,000",可遠端,2026/03/23,20,"長期, 需發票",用於哪個行業：玩具業 細節說……..,https://www.tasker.com.tw/cases/TK26031813QNKE86,2
程式開發,預算詳談,新竹市,2026/03/11,8,,需求概述：需求名稱：程式……..,https://www.tasker.com.tw/cases/TK26031020UNXY19,2
Wordpress購物車系統架設,"$20,000",可遠端,2026/03/09,37,需發票,目前有完整的Wordpre……..,https://www.tasker.com.tw/cases/TK26030418TKHJ19,2
網站設計（平台建置需前後台功能、有一些客製）,預算詳談,桃園市,2026/02/10,86,,用於哪個行業：個人商業……..,https://www.tasker.com.tw/cases/TK26020610IXND32,2
web系統,預算詳談,新北市,2026/02/10,71,,用於哪個行……..,https://www.tasker.com.tw/cases/TK26020600AGEU53,2
程式開發,預算詳談,可遠端,2026/01/31,53,,需求概述：需求名稱：資料庫維護 後端框架：Laravel（PHP） 前端：Blade Template（Laravel……,https://www.tasker.com.tw/cases/TK26012717GMCM11,2
Flutter 專案,"$100,000",台北市,2026/05/21,23,,1.完成期限：1個月內 2.功能需求：類似企業ERP應用的APP端 3.需具備……..,https://www.tasker.com.tw/cases/TK26051808SXCE59,1
PDF 異質化產品型錄資訊提取技術開發（圖片 + 結構化資料）,"$100,000",可遠端,2026/05/20,23,,前情提要: 廠商需要從異質化的產品型錄中提取出產品資訊(廠商、代號、顏色、規格....)，以及切出產品圖片 技術難點: …,https://www.tasker.com.tw/cases/TK26051721CBDL68,1
辦公室內網及工作軟體,"$50,000",桃園市,2026/05/18,38,長期,我期望的需求成果：……..,https://www.tasker.com.tw/cases/TK26051511GUMS50,1
電商用的進銷存,"$100,000",高雄市,2026/05/18,33,長期,有做……..,https://www.tasker.com.tw/cases/TK26051219IAOD68,1
自動化工作流,"$10,000",桃園市,2026/05/18,16,"急件, 長期",你好 我想了解AI Agent寫類似小龍蝦一樣……..,https://www.tasker.com.tw/cases/TK26051305WSCS99,1
API、整合與產品層,"$100,000",可遠端,2026/05/15,33,需發票,技術需求: 層級技術用途後端Node.js（NestJS）或 Python（FastAPI）合作夥伴 API、Webho…,https://www.tasker.com.tw/cases/TK26051214AELF03,1
AI Manus操作與製作,"$10,000",台南市,2026/05/14,11,長期,用於哪個行業：產品線上行銷 細……..,https://www.tasker.com.tw/cases/TK26051114ZHOX12,1
瑜珈品牌官網與後台,預算詳談,可遠端,2026/05/12,56,需發票,- 課程預約： 學員要能用LINE登入線上看課表、預約床位與候補排隊、掃碼簽到。 - 教練管理： 後台要能設定不同教練的…,https://www.tasker.com.tw/cases/TK26050821EYXI43,1
獨立會員系統平台建置,"$200,000",新北市,2026/05/08,45,"急件, 長期, 需發票",用於哪個行業：工廠設備提供商 細節說明：🎯 一、專案目的 建立一個「獨立會員平台（VIP System）」： ✔ 核心…,https://www.tasker.com.tw/cases/TK26050514LXJC68,1
中國源碼網站台灣在地化工程（長期合作）,"$50,000",可遠端,2026/05/07,40,"長期, 需發票",我們目前有多個中國開源／商業源碼網站，計畫導入台灣市場，尋找具備技術＋在地化經驗的夥伴，一起快速完成產品落地並正式營運。…,https://www.tasker.com.tw/cases/TK26050409DQWO99,1
名牌代購網站架設,"$100,000",新北市,2026/05/05,62,,用於哪個行業：名牌代購 細節說明： 我要做一個名牌代購網站 響應式網頁 (Next.js) 為主架構 要有基本功能，線上…,https://www.tasker.com.tw/cases/TK26050202JKAE05,1
BV Shop 金價 API 串接＋商品價格自動更新,"$50,000",可遠端,2026/05/04,44,急件,用於哪個行業： 黃金飾品 / 金飾電商 細節說明： 目前網站預計使用 BV Shop，不需重新架設網站，需求為針對 BV…,https://www.tasker.com.tw/cases/TK26042910BSLT37,1
資料庫、記帳表,"$20,000",可遠端,2026/04/29,53,長期,用於哪個行業：行銷 金融 細節……..,https://www.tasker.com.tw/cases/TK26042617BDGL77,1
官網AI 聊天機器人（多案合作）,"$40,000",可遠端,2026/04/27,49,,我是幫人建立官網的人，但我不會做 AI 機器人，我需要找能夠幫我官網上添加客服聊天機器人服務的夥伴 我想要建置一個能在官…,https://www.tasker.com.tw/cases/TK26042318LYVK64,1
Cyberbiz官網維護(包括POS系統),"$10,000",台北市,2026/04/22,23,"急件, 長期, 需發票",背景與目標：我們為美妝保養品品牌，已建置Cyberbiz官網並搭配POS使用，近期希望建立穩定的長期合作夥伴，協助日常維…,https://www.tasker.com.tw/cases/TK26031718CUCR05,1
AI 導入顧問,"$10,000",新北市,2026/04/10,21,"長期, 需發票",擔任AI 工具的操作……..,https://www.tasker.com.tw/cases/TK26040703GYJX44,1
精通WordPress及Google廣告行銷的專業人士,"$10,000",可遠端,2026/04/09,18,"急件, 長期",用於哪個行業：線上課程（Revocal） 細節說明： 品牌官網架設在wordPress，需連接Youtube進行廣告行銷…,https://www.tasker.com.tw/cases/TK26040622HJOS08,1
網站商品上架,"$20,000",宜蘭縣,2026/04/07,41,長期,上架商品，……..,https://www.tasker.com.tw/cases/TK26040118ONPM72,1
ａｉ流程自動化,"$100,000",新北市,2026/04/02,60,"急件, 長期, 需發票",目前公司有一些工作流程想要導入a……..,https://www.tasker.com.tw/cases/TK26033014ASNK42,1
前端工程師（Landing Page / 廣告頁製作）,"$50,000",可遠端,2026/03/30,46,長期,我們需要製作多個產品x多個落地頁與廣……..,https://www.tasker.com.tw/cases/TK26032516DCIF54,1
DEMO軟體開發,"$20,000",可遠端,2026/03/30,25,長期,您好 我們這邊在尋找軟體的長期合作商 要開發RFID相關……..,https://www.tasker.com.tw/cases/TK26032611MJTN54,1
【 外包徵才 】Garena AI 影像設計專員（專案期間 6 個月）,"$40,000",台北市,2026/03/25,4,長期,【 工作內容 】 這是一個專案為期約半年的外包職位，受限於專案保密政策，需進駐辦公室執行，無法提供遠端協作 1.運用 S…,https://www.tasker.com.tw/cases/TK26032515WTTW13,1
AI 24小時專業客服,"$10,000",可遠端,2026/03/24,44,長期,用於哪個行業：私家車 細節說明： 我想要尋找AI整合高手，串接高手，……..,https://www.tasker.com.tw/cases/TK26032011VVUS05,1
估價系統,"$20,000",可遠端,2026/03/23,27,,估價系統 Wix……..,https://www.tasker.com.tw/cases/TK26031616TVVI92,1
Meta 智慧眼鏡串流整合開發,"$60,000",可遠端,2026/03/20,13,,需求說明： *需開發 Meta 智慧眼鏡整合應用，功能包含： 1.開啟/關閉眼鏡相機串流 2.開啟/接收眼鏡音訊串流 3…,https://www.tasker.com.tw/cases/TK26031608EOAB39,1
辦公室流程自動化,"$30,000",台北市,2026/03/18,62,長期,用於哪個行業：電商平台……..,https://www.tasker.com.tw/cases/TK26031313TBZJ78,1
RPA 自動化與數據採集,"$1,000,000",台中市,2026/03/10,23,長期,我正在尋求專家可以提供RPA 自動化與數據採集相關服務，服務內容 請參考：&lt;a href='https://www.ta…,https://www.tasker.com.tw/cases/TK26031004KLRL70,1
數位名片+購物車+會員系統,"$50,000",新北市,2026/03/09,44,長期,用於哪個行業：店家……..,https://www.tasker.com.tw/cases/TK26030507QAIS87,1
內帳／ERP營運帳務管理（長期配合）,"$3,000",可遠端,2026/03/03,32,長期,((((請自行報價，上面預算金額只是因為不寫則無法發件) 用於哪個行業：自有品牌 細節說明：我們是一間同時經營實體與網路…,https://www.tasker.com.tw/cases/TK26022614ESIZ18,1
AI技術置換商品包裝,"$10,000",可遠端,2026/03/02,28,,用於哪個行業：髮品廣告……..,https://www.tasker.com.tw/cases/TK26022221PXNH06,1
小企業全球化產品型錄形象網站,"$25,000",可遠端,2026/03/02,37,,網站建置需求說明書 (RFP) 1. 專案概況 專案名稱： 小企業全球化產品型錄形象網站（WordPress） 預算編列…,https://www.tasker.com.tw/cases/TK26022311RYVI14,1
LINE 自動化標籤與用戶畫像分析,預算詳談,可遠端,2026/03/02,35,長期,我們希望做兩件事： 一、LINE 標籤分群 把所有 LINE 好友依據「購買行為、金額、商品偏好、互動狀況」做自動分群標…,https://www.tasker.com.tw/cases/TK26022417IVUT87,1
修圖，P圖，去背，AI生圖和影片,"$1,000",可遠端,2026/03/01,25,急件,我正在尋求專家可以提供修圖，P圖，去背，AI生圖和影片相關服務，服務內容 請參考：&lt;a href='https://ww…,https://www.tasker.com.tw/cases/TK26022617TKCZ49,1
修圖，P圖，去背，AI生圖和影片,"$1,000",可遠端,2026/02/28,10,長期,我正在尋求專家可以提供修圖，P圖，去背，AI生圖和影片相關服務，服務內容 請參考：&lt;a href='https://ww…,https://www.tasker.com.tw/cases/TK26022801HKQY44,1
ComfyUI 遊戲美術自動化產線建置 — 支援 Live2D 規格之角色拆層與風格遷移,"$20,000",可遠端,2026/02/23,4,,【專案目標】 我們正在開發一款具備高品質動態表現的ACG遊戲平台。 需要徵求一位 AI 工作流顧問 (Technical…,https://www.tasker.com.tw/cases/TK26021218SGLB79,1
打造 AI 客服,"$50,000",新北市,2026/02/10,66,需發票,打造 AI 客服助理，想用……..,https://www.tasker.com.tw/cases/TK26020511GNGW53,1
徵求寫簡單python,預算詳談,可遠端,2026/02/06,75,,1.案件說明：協助寫爬蟲爬各家房屋網站的訊息，……..,https://www.tasker.com.tw/cases/TK25081813CXZW59,1
製作遊戲寫程式！,預算詳談,新北市,2026/02/06,7,,我想在blockmango 遊戲中製作steam的誰是殺手(Garry's Mod ）但是我不會做，我想請您……..,https://www.tasker.com.tw/cases/TK26013022DOQZ95,1
網頁下單系統,預算詳談,台北市,2026/02/04,38,,抓取網路下……..,https://www.tasker.com.tw/cases/TK26013013KPTU03,1
網站製作,預算詳談,可遠端,2026/02/04,59,,我想找人懂ai的部分做網站 因……..,https://www.tasker.com.tw/cases/TK26013013YLGZ71,1
旅游行程ai影片生成,"$5,000",可遠端,2026/02/02,34,長期,用於哪個行業：旅游業 細節說明： 我會……..,https://www.tasker.com.tw/cases/TK26012814GKPY71,1
電商網站維運（遠端可）,"$5,000",可遠端,2026/02/02,19,"長期, 需發票",用於哪個行業：產品開發零售 細節說明：目前使用 QDM 尋找維運上架、定期測試（回覆截圖及報告）優化 之專人 專案背景 …,https://www.tasker.com.tw/cases/TK26012914WIMA32,1
SHOLINE後台設定,"$2,000",可遠端,前天,10,"急件, 長期",用於哪個行業：保健食……..,https://www.tasker.com.tw/cases/TK26051911MBEX60,1
AI商品介紹影片需求,"$3,000",可遠端,2026/05/21,8,長期,用於哪個行業：多產業 細節說明： 需求一： 成品長度：30 秒 製作方式：設計模板並可複製相同產業或產品應用 初稿 1 …,https://www.tasker.com.tw/cases/TK26052101ADZE51,1
遊戲系統製作,"$60,000",可遠端,2026/05/18,10,長期,一款 2D 雙人合作派對遊戲，主題是「世界名畫 × 雙人合作小遊戲」。玩家會扮演老館長與小孫子，進入不同名畫的世界，透過…,https://www.tasker.com.tw/cases/TK26051814SOSB38,1
AI 助手,"$1,000",可遠端,2026/05/18,12,"長期, 需發票",AI 應用的行業/領域：製……..,https://www.tasker.com.tw/cases/TK26051516CXJT72,1
架設網站,"$46,000",可遠端,2026/05/15,27,"長期, 需發票",用於哪個行業：多語言及多教師教學平台（英日韓）、Tutor Lms、錄播影片、Meeting直播、……..,https://www.tasker.com.tw/cases/TK26051216QJEL71,1
畢專點餐系統,"$10,000",新北市,2026/05/15,50,急件,你好我們是大學生教科系，我們想請您幫我們製作一個點餐系統，希望能讓客人掃碼或是點連結點……..,https://www.tasker.com.tw/cases/TK26051211YXKZ60,1
WordPress Avada 接案,"$50,000",可遠端,2026/05/14,37,長期,用於哪個行……..,https://www.tasker.com.tw/cases/TK26051118LUCW48,1
AI 助手,"$10,000",可遠端,2026/05/14,16,長期,AI 應用的行業/領域：電子商……..,https://www.tasker.com.tw/cases/TK26051116WQAM97,1
(長期合作)影音代操-寵物保健(需擅長AI生成與寵物影音經驗),"$70,000",新北市,2026/05/12,21,"長期, 需發票",用於哪個行業：寵物保健洗護品(自有品牌)……..,https://www.tasker.com.tw/cases/TK26051214BUUE48,1
找頂大家教老師與學生測試家教網站 (2-3小時，報酬 1000 元）,"$1,000",可遠端,2026/05/12,4,急件,【找頂大家教老師與學生測試家教網站】(名額 2-3 位) 報酬： NT$ 800 - 1000/ 單次 No Limit…,https://www.tasker.com.tw/cases/TK26051212OJBE29,1
AI課程講師,"$1,000",台中市,2026/05/11,5,長期,您好，我們是「Bamtor 笨木頭軟裝設計」的室內設計公司。 目前希望導入 AI 工具來提升整體工作效率，包含更快速完成…,https://www.tasker.com.tw/cases/TK26051113RVXX99,1
網站行動裝置優化教學,"$3,000",可遠端,2026/05/11,20,急件,用於哪個行業：寵物知識網站 細節說明：我的網站……..,https://www.tasker.com.tw/cases/TK26050812EPUW60,1
🎬 徵｜AI生成 × AE(或剪映) MG動態廣告協作（邊做邊教｜建立AI內容流程）,"$8,000",台北市,2026/05/11,6,"急件, 長期",徵｜生成式 AI MG 動態廣告／品牌產品服務介紹影像 製作教學 （個人學習/進修 已有些基礎與概念） 邊做邊教，一起建…,https://www.tasker.com.tw/cases/TK26051101WZNC87,1
AI 導入流程,"$50,000",台中市,2026/05/11,25,長期,AI 應用的行業/領域：房地產/……..,https://www.tasker.com.tw/cases/TK26050808YJCG75,1
想找可以協助 APP 代上架的人,"$1,000",可遠端,2026/05/11,4,急件,目前 APP 已有開發進度，想找熟悉 Apple 送審流程的人合作。 需求大概是： 協助……..,https://www.tasker.com.tw/cases/TK26050923MSTT29,1
繳費機系統,"$30,000",可遠端,2026/05/08,10,"急件, 長期, 需發票",用於哪個行業：置物櫃繳……..,https://www.tasker.com.tw/cases/TK26050812LQMH99,1
